length_years,start,valued_at,contributions,strategy_xirr,index_xirr,spread
10,1995-10-01,2005-09-30,40,0.058997989506686235,0.05677162374679271,0.002226365759893524
10,1996-01-01,2005-12-31,40,0.05632854736845413,0.05539473979279976,0.0009338075756543662
10,1996-04-01,2006-03-31,40,0.04877218793538682,0.05826334520327028,-0.009491157267883459
10,1996-07-01,2006-06-30,40,0.028596049053833516,0.0508134362208715,-0.022217387167037982
10,1996-10-01,2006-09-30,40,0.03891787731942298,0.056804280281068514,-0.017886402961645537
10,1997-01-01,2006-12-31,40,0.045517945162410985,0.06450827651410929,-0.0189903313516983
10,1997-04-01,2007-03-31,40,0.03041121712443955,0.0615084807194387,-0.03109726359499915
10,1997-07-01,2007-06-30,40,0.03977798861603278,0.06888242626442583,-0.029104437648393044
10,1997-10-01,2007-09-30,40,0.04903041688020003,0.06940449160881038,-0.020374074728610345
10,1998-01-01,2007-12-31,40,0.04193747749026254,0.06005213429720965,-0.018114656806947113
10,1998-04-01,2008-03-31,40,0.02512370710846888,0.03849378707323564,-0.013370079964766763
10,1998-07-01,2008-06-30,40,-0.006112505088965132,0.03148589016179796,-0.03759839525076309
10,1998-10-01,2008-09-30,40,-0.018516072640706056,0.013341677115039188,-0.03185774975574524
10,1999-01-01,2008-12-31,40,-0.0642976326173361,-0.03718080764953524,-0.027116824967800865
10,1999-04-01,2009-03-31,40,-0.10872928646056386,-0.05999232597075167,-0.04873696048981219
10,1999-07-01,2009-06-30,40,-0.08061525286499885,-0.028533671303614155,-0.05208158156138469
10,1999-10-01,2009-09-30,40,-0.05376705167288546,0.0011841586622735397,-0.054951210335159
10,2000-01-01,2009-12-31,40,-0.05074973929577208,0.012777686052362437,-0.06352742534813452
10,2000-04-01,2010-03-31,40,-0.03760562146757029,0.02333309938275074,-0.060938720850321024
10,2000-07-01,2010-06-30,40,-0.07425057659542714,4.855050799835546e-05,-0.0742991271034255
10,2000-10-01,2010-09-30,40,-0.04957507638681512,0.02153493929764253,-0.07111001568445766
10,2001-01-01,2010-12-31,40,-0.014743806204018767,0.04127276050161437,-0.05601656670563313
10,2001-04-01,2011-03-31,40,0.009046868420736823,0.051666820625849416,-0.042619952205112596
10,2001-07-01,2011-06-30,40,0.0049622369638603414,0.05045000943424283,-0.04548777247038249
10,2001-10-01,2011-09-30,40,-0.01708993415134268,0.020674628374715075,-0.037764562526057754
10,2002-01-01,2011-12-31,40,0.014523186459497506,0.04068841673565222,-0.02616523027615471
10,2002-04-01,2012-03-31,40,0.031077807098506764,0.0619157849245981,-0.030837977826091337
10,2002-07-01,2012-06-30,40,0.03196022633338734,0.054929768255866915,-0.022969541922479575
10,2002-10-01,2012-09-30,40,0.044415458412882705,0.06398931226102321,-0.019573853848140504
10,2003-01-01,2012-12-31,40,0.029899905827707834,0.059561521543551946,-0.029661615715844112
10,2003-04-01,2013-03-31,40,0.03548990788584364,0.07516887356908286,-0.03967896568323922
10,2003-07-01,2013-06-30,40,0.03300880775657881,0.07661020833523634,-0.04360140057865753
10,2003-10-01,2013-09-30,40,0.03212686818939171,0.08297013952152879,-0.050843271332137084
10,2004-01-01,2013-12-31,40,0.06372268210396834,0.09845679910198811,-0.03473411699801977
10,2004-04-01,2014-03-31,40,0.05604029537104812,0.09893940213637387,-0.04289910676532575
10,2004-07-01,2014-06-30,40,0.06786935427306354,0.10554936130659803,-0.037680007033534496
10,2004-10-01,2014-09-30,40,0.06304099716783919,0.10452045239024906,-0.04147945522240987
10,2005-01-01,2014-12-31,40,0.06655858694040287,0.11036599172138538,-0.04380740478098251
10,2005-04-01,2015-03-31,40,0.0652446625716727,0.10932749219546314,-0.04408282962379044
10,2005-07-01,2015-06-30,40,0.06517316313059847,0.10677316528964234,-0.04160000215904387
10,2005-10-01,2015-09-30,40,0.043934502207886535,0.09128223701374372,-0.04734773480585718
10,2006-01-01,2015-12-31,40,0.04604493621505938,0.10123028390213168,-0.0551853476870723
10,2006-04-01,2016-03-31,40,0.057059887120754445,0.10091641606298399,-0.04385652894222954
10,2006-07-01,2016-06-30,40,0.05932248350195625,0.10276056633338741,-0.04343808283143116
10,2006-10-01,2016-09-30,40,0.06252750094430225,0.1068952082752822,-0.04436770733097996
10,2007-01-01,2016-12-31,40,0.06704374452109078,0.11113570578892365,-0.044091961267832866
10,2007-04-01,2017-03-31,40,0.07924277079669122,0.11964151065863302,-0.0403987398619418
10,2007-07-01,2017-06-30,40,0.07820365370041027,0.1226585242661627,-0.044454870565752425
10,2007-10-01,2017-09-30,40,0.087403871534334,0.12828945846379955,-0.04088558692946555
10,2008-01-01,2017-12-31,40,0.10052131321200292,0.13771395954550203,-0.03719264633349911
10,2008-04-01,2018-03-31,40,0.0932382229852421,0.13356749574887372,-0.040329272763631616
10,2008-07-01,2018-06-30,40,0.11249742533253923,0.136624849074455,-0.02412742374191576
10,2008-10-01,2018-09-30,40,0.1410852583306391,0.1466050467447617,-0.005519788414122623
10,2009-01-01,2018-12-31,40,0.08073623807861761,0.11518693784589797,-0.03445069976728035
10,2009-04-01,2019-03-31,40,0.11524244731659568,0.13270947456058618,-0.017467027243990504
10,2009-07-01,2019-06-30,40,0.11916118418221074,0.13275263040541982,-0.013591446223209083
10,2009-10-01,2019-09-30,40,0.13442221460109435,0.1289855949525349,0.00543661964855946
10,2010-01-01,2019-12-31,40,0.1758880934505518,0.13892718217754396,0.03696091127300785
10,2010-04-01,2020-03-31,40,0.14385789311190061,0.09269860115118692,0.0511592919607137
10,2010-07-01,2020-06-30,40,0.20800999505699821,0.12265883584709306,0.08535115920990516
10,2010-10-01,2020-09-30,40,0.24668620536820948,0.13173383746133732,0.11495236790687216
10,2011-01-01,2020-12-31,40,0.27150235181003124,0.1467238256557213,0.12477852615430993
10,2011-04-01,2021-03-31,40,0.2598455370963745,0.1521125982471658,0.10773293884920868
10,2011-07-01,2021-06-30,40,0.28149175644054114,0.16165489754660034,0.1198368588939408
10,2011-10-01,2021-09-30,40,0.2874205396918807,0.1568685067327471,0.1305520329591336
10,2012-01-01,2021-12-31,40,0.3171483957778772,0.16855063465968226,0.14859776111819492
10,2012-04-01,2022-03-31,40,0.31395616721369257,0.1530878766007431,0.16086829061294947
10,2012-07-01,2022-06-30,40,0.2632227932353102,0.1145955993739318,0.14862719386137843
10,2012-10-01,2022-09-30,40,0.2565736194750285,0.09907122267608065,0.15750239679894784
10,2013-01-01,2022-12-31,40,0.24037040547332444,0.10694296636612183,0.13342743910720262
10,2013-04-01,2023-03-31,40,0.2742005607824336,0.11434942875522598,0.15985113202720763
10,2013-07-01,2023-06-30,40,0.29152388376531113,0.12426751840092226,0.16725636536438887
10,2013-10-01,2023-09-30,40,0.2687478999283237,0.11235814665614084,0.15638975327218285
10,2014-01-01,2023-12-31,40,0.2798515971894065,0.1274529563125868,0.1523986408768197
10,2014-04-01,2024-03-31,40,0.2527929030234954,0.14094983056935437,0.11184307245414102
10,2014-07-01,2024-06-30,40,0.2765522837091165,0.1434836887437961,0.1330685949653204
10,2014-10-01,2024-09-30,40,0.2824737599455965,0.14888271643428902,0.13359104351130746
10,2015-01-01,2024-12-31,40,0.28412371163533395,0.14781983156095385,0.1363038800743801
10,2015-04-01,2025-03-31,40,0.2533350148944162,0.13469003950109107,0.11864497539332511
10,2015-07-01,2025-06-30,40,0.23974401204428308,0.1486649884777988,0.09107902356648429
10,2015-10-01,2025-09-30,40,0.2663189260223532,0.15754047239415245,0.10877845362820074
10,2016-01-01,2025-12-31,40,0.2642242314960671,0.15593574406082106,0.10828848743524605
15,1975-01-01,1989-12-31,60,0.13441826289094963,0.164202019270036,-0.029783756379086368
15,1975-04-01,1990-03-31,60,0.12495278520351039,0.15639485291374278,-0.03144206771023239
15,1975-07-01,1990-06-30,60,0.1277878720786583,0.1597241339390444,-0.03193626186038609
15,1975-10-01,1990-09-30,60,0.11751743175487935,0.13961212097451917,-0.02209468921963982
15,1976-01-01,1990-12-31,60,0.12401448435574933,0.1456827952316534,-0.021668310875904068
15,1976-04-01,1991-03-31,60,0.12489062941314426,0.15774426121935203,-0.032853631806207775
15,1976-07-01,1991-06-30,60,0.11595887326726805,0.15438112095488926,-0.03842224768762122
15,1976-10-01,1991-09-30,60,0.11975279891389812,0.15715093696728216,-0.037398138053384045
15,1977-01-01,1991-12-31,60,0.12238026137360308,0.1630928429380569,-0.040712581564453815
15,1977-04-01,1992-03-31,60,0.11293995218359414,0.15703701553870242,-0.04409706335510828
15,1977-07-01,1992-06-30,60,0.12420176951319424,0.1556794568412834,-0.03147768732808916
15,1977-10-01,1992-09-30,60,0.1215709233043962,0.1556226703371656,-0.03405174703276939
15,1978-01-01,1992-12-31,60,0.11269978097493102,0.1573924322389817,-0.04469265126405067
15,1978-04-01,1993-03-31,60,0.12074415418736355,0.15835172805087683,-0.03760757386351328
15,1978-07-01,1993-06-30,60,0.11691939409608908,0.15454125541828762,-0.03762186132219854
15,1978-10-01,1993-09-30,60,0.11239983563190899,0.15326587325483004,-0.040866037622921056
15,1979-01-01,1993-12-31,60,0.105404052744814,0.15191116458187603,-0.046507111837062035
