year,period,rank,company,value_musd,ref_url,table_note,wiki_revision
2024,Q3,5,Amazon,1956000.0,,This list is up to date as of 31 December 2024 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2024,Q4,5,Amazon,2307000.0,,This list is up to date as of 31 December 2024 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2024,Q1,6,Meta,1238000.0,,This list is up to date as of 31 December 2024 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2024,Q2,6,Meta,1279000.0,,This list is up to date as of 31 December 2024 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2024,Q3,6,Meta,1448000.0,,This list is up to date as of 31 December 2024 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2024,Q4,6,Meta,1478000.0,,This list is up to date as of 31 December 2024 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2024,Q1,7,Berkshire Hathaway,912130.0,,This list is up to date as of 31 December 2024 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2024,Q2,7,TSMC,901390.0,,This list is up to date as of 31 December 2024 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2024,Q3,7,Berkshire Hathaway,993020.0,,This list is up to date as of 31 December 2024 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2024,Q4,7,Tesla,1296000.0,,This list is up to date as of 31 December 2024 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2024,Q1,8,Eli Lilly,739660.0,,This list is up to date as of 31 December 2024 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2024,Q2,8,Berkshire Hathaway,879670.0,,This list is up to date as of 31 December 2024 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2024,Q3,8,TSMC,900670.0,,This list is up to date as of 31 December 2024 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2024,Q4,8,Broadcom,1087000.0,,This list is up to date as of 31 December 2024 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2024,Q1,9,TSMC,705690.0,,This list is up to date as of 31 December 2024 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2024,Q2,9,Eli Lilly,815210.0,,This list is up to date as of 31 December 2024 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2024,Q3,9,Tesla,835810.0,,This list is up to date as of 31 December 2024 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2024,Q4,9,TSMC,1024000.0,,This list is up to date as of 31 December 2024 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2024,Q1,10,Broadcom,614220.0,,This list is up to date as of 31 December 2024 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2024,Q2,10,Broadcom,747360.0,,This list is up to date as of 31 December 2024 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2024,Q3,10,Broadcom,805670.0,,This list is up to date as of 31 December 2024 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2024,Q4,10,Berkshire Hathaway,978890.0,,This list is up to date as of 31 December 2024 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q1,1,Apple,2609000.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q2,1,Apple,3050000.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q3,1,Apple,2677000.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q4,1,Apple,2994000.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q1,2,Microsoft,2146000.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q2,2,Microsoft,2532000.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q3,2,Microsoft,2346000.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q4,2,Microsoft,2795000.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q1,3,Alphabet,1332000.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q2,3,Alphabet,1530000.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q3,3,Alphabet,1662000.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q4,3,Alphabet,1764000.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q1,4,Amazon,1058000.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
2023,Q2,4,Amazon,1337000.0,,This list is up to date as of 31 December 2023. Indicated changes in market value are relative to the previous quarter.,1371146339
