scenario,leg,periods,first_period,last_period,twr_annualized,volatility,sharpe,downside_deviation,sortino,max_drawdown,max_dd_peak,max_dd_trough,max_dd_recovery,underwater_days,family
pre1996_rows_to_index_buy_the_dip_25_50,index,612,1975-01-31,2025-12-31,0.1245571008788348,0.1506246382117236,0.5817902271171339,0.1003563461322549,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,data_sensitivity
pre1996_rows_to_index_buy_the_dip_25_50,combined,612,1975-01-31,2025-12-31,0.1247123473779652,0.1510813131939388,0.5814181605081201,0.1005898136378929,0.8742125670970725,-0.5606220668988477,2007-10-09,2009-03-09,2012-09-06,1794,data_sensitivity
top1_from_1996_baseline_hold,stock,360,1996-01-31,2025-12-31,0.1102264697234696,0.209948745411534,0.4985719908110216,0.1338121497778708,0.7812452852655154,-0.7359271346631182,2000-08-28,2009-03-05,2016-12-12,5950,data_sensitivity
top1_from_1996_baseline_hold,index,360,1996-01-31,2025-12-31,0.1035432190890064,0.1525680053269552,0.5781685971928134,0.1035951018365601,0.8515577393003217,-0.5525024106682106,2007-10-09,2009-03-09,2012-04-02,1637,data_sensitivity
top1_from_1996_baseline_hold,combined,360,1996-01-31,2025-12-31,0.107839554392396,0.1723916970050461,0.5533045136038988,0.1128526160566795,0.8444091592602331,-0.6252843389453988,2000-08-28,2009-03-05,2013-07-11,4700,data_sensitivity
top1_from_1996_trailing_stop_25,stock,360,1996-01-31,2025-12-31,0.117777203823868,0.1719742674811696,0.606064419082049,0.1070621196964574,0.9718265280764078,-0.5262837110132367,2007-10-09,2009-03-05,2012-09-13,1801,data_sensitivity
top1_from_1996_trailing_stop_25,index,360,1996-01-31,2025-12-31,0.1035432190890064,0.1525680053269552,0.5781685971928134,0.1035951018365601,0.8515577393003217,-0.5525024106682106,2007-10-09,2009-03-09,2012-04-02,1637,data_sensitivity
top1_from_1996_trailing_stop_25,combined,360,1996-01-31,2025-12-31,0.1112952138494431,0.1595007941570492,0.6041396944425931,0.1038585690278955,0.9268680772953608,-0.5378849395486043,2007-10-09,2009-03-09,2012-09-06,1794,data_sensitivity
top1_from_1996_buy_the_dip_25_50,stock,360,1996-01-31,2025-12-31,0.1144109979799004,0.214164074547959,0.5108128283587868,0.1364737405009632,0.8006234868586434,-0.7466724941522342,1999-12-27,2009-03-05,2015-10-22,5778,data_sensitivity
top1_from_1996_buy_the_dip_25_50,index,360,1996-01-31,2025-12-31,0.1035432190890064,0.1525680053269552,0.5781685971928134,0.1035951018365601,0.8515577393003217,-0.5525024106682106,2007-10-09,2009-03-09,2012-04-02,1637,data_sensitivity
top1_from_1996_buy_the_dip_25_50,combined,360,1996-01-31,2025-12-31,0.1091140598644742,0.1834632591707153,0.5370779678442207,0.1197044119857688,0.8223920732619816,-0.6766160055547452,2007-10-31,2009-03-05,2013-10-29,2190,data_sensitivity
taxed_baseline_hold_1975,stock,612,1975-01-31,2025-12-31,0.1028800463782044,0.1621941140252468,0.4298488607968231,0.1027414801967698,0.6782812357291736,-0.5692169995526584,1999-07-16,2002-10-09,2007-07-25,2931,tax_drag
taxed_baseline_hold_1975,index,612,1975-01-31,2025-12-31,0.1245571008788348,0.1506246382117236,0.5817902271171339,0.1003563461322549,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,tax_drag
taxed_baseline_hold_1975,combined,612,1975-01-31,2025-12-31,0.1157073362566605,0.1435702824247784,0.5475035867734828,0.0939351585845939,0.8373107755860635,-0.4961568164887503,2000-04-07,2002-10-09,2007-01-24,2483,tax_drag
taxed_trailing_stop_25_1975,stock,612,1975-01-31,2025-12-31,0.1181993248398409,0.1435114294579432,0.5627784674685954,0.0946047152545983,0.8551164763820079,-0.5307977174790666,2007-10-09,2009-03-09,2012-08-16,1773,tax_drag
taxed_trailing_stop_25_1975,index,612,1975-01-31,2025-12-31,0.1245571008788348,0.1506246382117236,0.5817902271171339,0.1003563461322549,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,tax_drag
taxed_trailing_stop_25_1975,combined,612,1975-01-31,2025-12-31,0.1216135620618776,0.1442751029215078,0.5821877289155872,0.0955758970219777,0.8801055930014613,-0.5423451075317093,2007-10-09,2009-03-09,2012-08-16,1773,tax_drag
taxed_buy_the_dip_25_50_1975,stock,612,1975-01-31,2025-12-31,0.1062295928636281,0.1809282747444419,0.419523976290512,0.1138391703169916,0.6666888027476047,-0.5778434561084187,1999-07-16,2002-10-09,2008-05-14,3225,tax_drag
taxed_buy_the_dip_25_50_1975,index,612,1975-01-31,2025-12-31,0.1245571008788348,0.1506246382117236,0.5817902271171339,0.1003563461322549,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,tax_drag
taxed_buy_the_dip_25_50_1975,combined,612,1975-01-31,2025-12-31,0.1155510211214507,0.1546069022305226,0.518047226310161,0.099545138245383,0.8048408971836151,-0.5229917947885904,1999-07-16,2002-10-09,2007-05-16,2861,tax_drag
taxed_baseline_hold_1995,stock,372,1995-01-31,2025-12-31,0.1170644561867961,0.2123930772460368,0.5202239222839505,0.1350823584704545,0.8164728799763051,-0.7637645957641481,2000-08-28,2009-03-05,2018-10-03,6610,tax_drag
taxed_baseline_hold_1995,index,372,1995-01-31,2025-12-31,0.111419939859098,0.1507442604920103,0.624713535776678,0.1019208770364347,0.9233790851761376,-0.5525024106682106,2007-10-09,2009-03-09,2012-04-02,1637,tax_drag
taxed_baseline_hold_1995,combined,372,1995-01-31,2025-12-31,0.1153450380008656,0.1728232607010221,0.5865127276203803,0.1126348073133508,0.8983912111576663,-0.6490273863503766,2000-08-28,2009-03-05,2013-10-18,4799,tax_drag
