# S&P 500 total-return level. <1988-01-04: ^GSPC daily price return + Shiller monthly dividends (http://www.econ.yale.edu/~shiller/data/ie_data.xls) accrued daily; >=1988-01-04: ^SP500TR daily returns. Built by sp500bt.index_tr.write_manual_csv()
date,close
1973-01-17,61.548925
1973-01-18,61.643585
1973-01-19,61.613775
1973-01-22,61.324602
1973-01-23,61.336289
1973-01-24,60.569730
1973-01-26,60.430938
1973-01-29,60.209106
1973-01-30,60.122187
1973-01-31,60.232499
1973-02-01,59.580431
1973-02-02,59.374771
1973-02-05,59.319669
1973-02-06,59.441117
1973-02-07,59.038029
1973-02-08,58.785523
1973-02-09,59.582354
1973-02-12,60.306544
1973-02-13,60.687877
1973-02-14,59.822029
1973-02-15,59.491409
1973-02-16,59.774119
1973-02-20,59.999675
1973-02-21,59.637740
1973-02-22,59.514957
1973-02-23,58.856504
1973-02-26,58.359206
1973-02-27,57.695388
1973-02-28,58.108398
1973-03-01,57.786850
1973-03-02,58.433149
1973-03-05,58.647568
1973-03-06,59.392897
1973-03-07,59.581333
1973-03-08,59.473058
1973-03-09,59.250226
1973-03-12,59.292927
1973-03-13,59.622048
1973-03-14,59.888705
1973-03-15,59.447018
1973-03-16,59.151140
1973-03-19,58.443663
1973-03-20,58.335293
1973-03-21,57.580768
1973-03-22,56.727144
1973-03-23,56.754251
1973-03-26,57.260914
1973-03-27,58.163831
1973-03-28,58.201376
1973-03-29,58.775988
1973-03-30,58.161687
1973-04-02,57.469756
1973-04-03,56.986378
1973-04-04,56.748122
1973-04-05,56.624618
1973-04-06,57.028108
1973-04-09,57.859566
1973-04-10,58.571081
1973-04-11,58.823341
1973-04-12,58.778070
1973-04-13,58.523952
1973-04-16,58.196702
1973-04-17,57.942523
1973-04-18,58.262830
1973-04-19,58.598844
1973-04-23,58.292334
1973-04-24,57.473763
1973-04-25,56.618516
1973-04-26,56.912886
1973-04-27,56.052206
1973-04-30,55.923236
1973-05-01,55.997541
1973-05-02,56.699281
1973-05-03,57.641637
1973-05-04,58.055898
1973-05-07,57.816422
1973-05-08,58.199389
1973-05-09,57.781994
1973-05-10,57.317464
1973-05-11,56.606951
1973-05-14,55.425378
1973-05-15,55.782389
1973-05-16,55.715459
1973-05-17,55.266370
1973-05-18,54.382682
1973-05-21,53.797352
1973-05-22,54.248831
1973-05-23,54.511817
1973-05-24,56.126237
1973-05-25,56.551682
1973-05-29,56.332754
1973-05-30,55.500750
1973-05-31,55.004030
1973-06-01,54.476149
1973-06-04,53.979651
1973-06-05,54.851325
1973-06-06,54.695491
1973-06-07,55.504454
1973-06-08,56.135215
1973-06-11,55.968837
1973-06-12,56.809566
1973-06-13,56.454290
1973-06-14,55.831394
1973-06-15,55.155947
1973-06-18,54.375460
1973-06-19,54.586862
1973-06-20,54.829787
1973-06-21,54.190758
1973-06-22,54.454742
1973-06-25,53.700032
1973-06-26,54.258187
1973-06-27,54.432978
1973-06-28,55.001776
1973-06-29,54.782576
1973-07-02,54.074724
1973-07-03,53.540201
1973-07-05,53.499648
1973-07-06,53.243579
1973-07-09,53.702440
1973-07-10,54.434758
1973-07-11,55.640426
1973-07-12,55.489408
1973-07-13,54.754550
1973-07-16,55.592436
1973-07-17,55.625499
